27,Recognition and Systematization of grape leaf diseases using Artificial Intelligence paradigms: A Synopsis,S12,Swetha Pai,"Pai, Swetha*; Thomasa, Manoj"
32,U-Net-Based Approach for Segmentation of Tables from Scanned Pages,S10,Ravish Kumar Sharma,"Sharma, Ravish Kumar*; Bhattacharrya, Romit; Sanyal, Ratna; Sanyal, Sudip"
34,An Approach for Fraction of Vegetation Cover Estimation in Forest Above-Ground Biomass Assessment Using Sentinel-2 Images,S11,Mahendra Kumar Pal,"Kumar, Praveen ; Krishna, Akhouri P ; Pal, Mahendra Kumar*"
35,Dynamic Multimodal Biometric System,S1,Prateek Patil,"Patil, Prateek*; AGARWAL, SUNEETA"
41,Sign language recognition using cluster and chunk-based feature extraction,S2,syroos zaboli,"zaboli, syroos*"
45,Air Writing: Tracking and Tracing,S3,Jyotsana Mall,"Mall, Jyotsana*; Khatri, Deepak; Rani, Komal"
47,Action Recognition in Haze Using an Efficient Fusion of Spatial and Temporal Features,S5,Snehasis Mukherjee,"Tanneru, Sri Girinadh; Mukherjee, Snehasis*"
48,Human Action Recognition from 3D Landmark Points of the Performer,S5,Snehasis Mukherjee,"Mukherjee, Snehasis*; Nagalakshmi, Chirumamilla"
50,Copy-Move Image Forgery Detection using Spatio-structured SIFT Algorithm,S1,Rajashree Nayak,"Hansda, Raimoni; Nayak, Rajashree*; Balabantaray, Bunil K"
55,F-UNet: A Modified U-Net Architecture For Segmentation Of Stroke Lesion,S8,Hritam Basak,"Basak, Hritam*; Rana, Ajay"
58,Radial Cumulative Frequency Distribution: A new imaging signature to detect chromosomal arms 1p/19q codeletion status in glioma,S8,Neelam Sinha,"Bhattacharya, Debanjali; Sinha, Neelam *; Saini, Jitender"
60,Mars Surface Multi-Decadal Change Detection using ISRO’s Mars Color Camera (MCC) and Viking Orbiter images,S13,Indranil Misra,"Misra, Indranil*; Rohil, Mukesh Kumar; Moorthi S, Manthira; Dhar, Debajyoti"
67,Deep Over and Under Exposed Region Detection,S10,Darshita Jain,"Jain, Darshita*; Raman, Shanmuganathan"
68,DeepHDR-GIF: Capturing Motion in HighDynamic Range Scenes,S3,Chandan Kumar,"Kumar, Chandan *; Deshpande, Ameya; Raman, Shanmuganathan"
76,CT Scan Transformation from a Sharp to a Soft Reconstruction Kernel using Filtering Techniques,S8,Adam Piorkowski,"Piorkowski, Adam*"
77,Development of an Automated Monitoring andWarning System for Landslide Prone Sites,S11,ANKITA SALDHI,"SALDHI, ANKITA*; Kar, Subrat"
89,A Combined Wavelet and Variational Mode Decomposition Approach for Denoising Texture Images,S4,Gokul R,"R, Gokul*; A, Nirmal; Kumar G, Dinesh; S, Karthic; T, Palanisamy"
91,Two-Image approach of Reflection Removal with Deep Learning,S4,rashmi chaurasiya,"chaurasiya, rashmi*; Ganotra, Dr. Dinesh"
93,Camera Based Parking Slot Detection For Autonomous Parking,S3,Upendra Suddamalla,"Suddamalla, Upendra;Wong, Anthony;Balaji,Ravichandiran;Lee,Banghyon;Limbu,Dilip Kumar"
94,Hard-Mining Loss based Convolutional Neural Network for Face Recognition,S2,Shiv Ram Dubey,"Srivastava, Yash; Murali, Vaishnav; Dubey, Shiv Ram*"
95,Visual Question Answering using Deep Learning: A Survey and Performance Analysis,S12,Shiv Ram Dubey,"Srivastava, Yash; Murali, Vaishnav; Dubey, Shiv Ram*; Mukherjee, Snehasis"
