Prof. Debotosh Bhattacharjee ,Jadavpur University
Prof. Anand Singh Jalal,"GLA University, Mathura"
Prof. B. N. Chatterji,"IIT, Kharagpur"
Prof. Kaushik Roy ,West Bengal State university 
Prof. Mahua  Bhattacharya,IIITM Gwalior
Prof. Pinalkumar Engineer,NIT Surat
Prof. Sanjoy Kumar Saha,Jadavpur University
Prof. Umesh Chandra Pati,NIT Rourkela
Prof. Vishal Ramesh Satpute,NIT Nagpur
Dr. Ashish Raman,NIT Jalandhar
Dr. Kaustuv Nag,IIIT Guwahati
Dr. Saravanan Chandran,NIT Durgapur
Dr. Abhishek Sharma,IIIT Naya Raipur
Dr. Ashish Khare,University of Allahabad
Dr. Ayatullah Faruk Mollah,Aliah University
Dr. B. H. Shekar,Mangalore University
Dr. Chandra Prakash,NIT Delhi
Dr. Chandrashekhar Azad,NIT Jamshedpur 
Dr. Debanjan Sadhya,IIITM Gwalior
Dr. Deepak Ranjan Nayak,NIT Jaipur
Dr. Durgesh Singh,IIITDM Jabalpur
Dr. Dushyant Kumar Singh,NIT Allahabad
Dr. Hariharan Muthusamy,NIT Uttarakhand
Dr. Irshad Ahmad Ansari,IIITDM Jabalpur
Dr. Jaydeb Bhaumik,Jadavpur University
Dr. Koushlendra Kumar Singh,NIT Jamshedpur
Dr. Krishan Kumar,NIT Uttarakhand
Dr. M. Tanveer,IIT Indore
DR. MALAYA KUMAR NATH,NIT Puducherry
Dr. Manish Khare,"Dhirubhai Ambani Institute of Information and Communication Technology (DA-IICT), Gandhinagar"
Dr. Mansi Sharma,IIT Madras
Dr. Nanda Dulal Jana,NIT Durgapur
Dr. Pradeep Singh,NIT Raipur
Dr. Puneet Gupta,IIT Indore
Dr. R. Boopathi Rani,NIT Puducherry
Dr. Rajkumar Saini,"LTU, Sweden"
Dr. Sanjoy Pratihar,IIIT Kalyani 
Dr. Saroj Kr. Biswas,NIT Silchar
Dr. SAUGATA SINHA,NIT Nagpur
Dr. Subhas Barman,Jalpaiguri Government Engineering College
Dr. Surya Prakash,IIT Indore
Dr. Thinagaran Perumal,"FSKTM, Malaysia"
Dr. Utpal Nandi,Assistant Professor
Dr. V. Sathiesh Kumar,Anna University
Dr. Yogita,NIT Meghalaya
