KISHOR M BHURCHANDI,NIT Nagpur
Mr Machavaram Venkata Raghunadh,NIT Warangal
Mr. Abhimanyu Sahu,Assistant professor
Mr. Chinmoy Ghosh,Jalpaiguri Government Engineering College
Mr. Sourav Pramanik,New Alipore College  
Mr. Swalpa Kumar Roy,"Jalpaiguri Government Engineering College, Jalpaiguri"
Ms. Rukhmini Roy,Jadavpur University
Ms. Sudipta Banerjee,Michigan State University
Ms. Tannistha Pal,NIT Agartala
Chiranjoy Chattopadhyay,IIT Jodhpur
Shabbeer Basha,IIIT Sri City
ARINDAM SIKDAR,JADAVPUR UNIVERSITY
ABHISHEK,IIIT Allahabad
ADARSH PRASAD BEHERA,IIIT Allahabad
ALBERT MUNDU,IIIT Allahabad
ALOK RANJAN SAHOO,IIIT Allahabad
ANAMIKA JAIN,IIIT Allahabad
DIPTI MISHRA,IIIT Allahabad
GOPAL CHANDRA JANA,IIIT Allahabad
HARSH SRIVASTAVA,IIIT Allahabad
JAYANTA MUKHOPADHYAY,IIT Kharagpur
JITENDRA,IIIT Allahabad
KAPIL MISHRA,IIIT Allahabad
NAND KR YADAV,IIIT Allahabad
NAYANEESH KUMAR MISHRA,IIIT Allahabad
NITISH ANDOLA,IIIT Allahabad
PRASHANT SHUKLA,IIIT Allahabad
PRAVIN KUMAR,IIIT Allahabad
RAGHAV,IIIT Allahabad
RAKESH KUMAR,IIIT Allahabad
ROHIT MISHRA,IIIT Allahabad
SHAMBHAVI TIWARI ,IIIT Allahabad
SHIVANGI NIGAM,IIIT Allahabad
SHRIKANT MALWIYA,IIIT Allahabad
SUDHAKAR MISHRA,IIIT Allahabad
SUMIT KUMAR ,IIIT Allahabad
SURANJAN GOSWAMI,IIIT Allahabad
SUVIDHA TRIPATHI,IIIT Allahabad
SWARNIMA SINGH GAUTAM,IIIT Allahabad
VARSHA SINGH,IIIT Allahabad
VIJAY KUMAR YADAV,IIIT Allahabad
Shubham Vatsal, "Samsung India"
